id.lot;id.tender;date;date.auction;id.procurer;id.bidder;cpv;procedure;threshold;transport;payment;count;expected.value;round.0;round.3;add.agreement;quantity;measurement
UA-2016-10-21-000146-c-L1;UA-2016-10-21-000146-c;21.10.2016;21.12.2016;20572069;37334004;09123000-7 Природний газ;Відкриті торги із публікацією англ. мовою;Надпороги;;;3;25950000;25900000;25034400;25034400;3000000;метри кубічні
UA-2016-12-22-001325-b-L2;UA-2016-12-22-001325-b;22.12.2016;10.01.2017;2361819;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;35471;33994;33994;33994;3900;метри кубічні
UA-2017-01-04-000823-b-L1;UA-2017-01-04-000823-b;04.01.2017;23.01.2017;2770239;30732144;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;6;2925000;2749500;2697000;2697000;325000;метри кубічні
UA-2016-11-25-000829-b-L1;UA-2016-11-25-000829-b;25.11.2016;13.12.2016;2009873;30732144;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;2799578;2551878;2415000;2415000;303795;метри кубічні
UA-2016-11-24-001421-c-L1;UA-2016-11-24-001421-c;24.11.2016;15.12.2016;2137810;37243368;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;5;990000;917407;791860;791860;101541;метри кубічні
UA-2016-12-05-000902-b-L2;UA-2016-12-05-000902-b;05.12.2016;21.12.2016;2909938;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;41191;37446;37446;37446;4;тисяча кубічних метрів
UA-2016-12-30-000426-b-L1;UA-2016-12-30-000426-b;30.12.2016;17.01.2017;4052525;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;2;339593;339588;339588;339588;36275;метри кубічні
UA-2016-12-08-002121-b-L3;UA-2016-12-08-002121-b;08.12.2016;26.12.2016;20001496;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;514881;468074;468074;468074;50;тисяча кубічних метрів
UA-2016-12-15-002610-b-L1;UA-2016-12-15-002610-b;15.12.2016;04.01.2017;2142325;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;400000;393182;393182;393182;42000;метри кубічні
UA-2016-12-23-001079-b-L1;UA-2016-12-23-001079-b;23.12.2016;10.01.2017;21908407;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;протягом розрах періоду;2;244000;243398;243398;243398;26000;метри кубічні
UA-2016-12-22-001325-b-L6;UA-2016-12-22-001325-b;22.12.2016;10.01.2017;2361819;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;42838;41054;41054;41054;4710;метри кубічні
UA-2016-12-01-001606-a-L2;UA-2016-12-01-001606-a;01.12.2016;26.12.2016;34984907;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;104000;102976;102976;102976;11;тисяча кубічних метрів
UA-2016-12-09-001821-b-L1;UA-2016-12-09-001821-b;09.12.2016;27.12.2016;37261350;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;250654;249380;249380;249380;28;тисяча кубічних метрів
UA-2016-12-09-001955-b-L1;UA-2016-12-09-001955-b;09.12.2016;27.12.2016;37261371;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;501307;498760;498760;498760;56;тисяча кубічних метрів
UA-2017-01-12-000405-b-L1;UA-2017-01-12-000405-b;12.01.2017;31.01.2017;4338820;39572642;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;470071;453548;453548;453548;45700;метри кубічні
UA-2016-11-18-001196-c-L1;UA-2016-11-18-001196-c;18.11.2016;12.12.2016;38314020;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;1604991;1604693;1604693;1604693;181909;метри кубічні
UA-2017-01-10-000439-b-L1;UA-2017-01-10-000439-b;10.01.2017;30.01.2017;1999833;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;226494;206420;206420;206420;23400;метри кубічні
UA-2016-11-15-000842-a-L1;UA-2016-11-15-000842-a;15.11.2016;26.12.2016;2145240;34528630;09123000-7 Природний газ;Відкриті торги із публікацією англ. мовою;Надпороги;;;2;7046128;6897331;6833906;6833906;861090;метри кубічні
UA-2016-12-21-000414-a-L1;UA-2016-12-21-000414-a;21.12.2016;11.01.2017;39002969;30732144;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;после;2;2695200;2369130;2367130;2367130;300270;метри кубічні
UA-2016-12-07-000188-b-L1;UA-2016-12-07-000188-b;07.12.2016;23.12.2016;4387935;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;282400;282284;282284;282284;32000;метри кубічні
UA-2016-12-22-001325-b-L3;UA-2016-12-22-001325-b;22.12.2016;10.01.2017;2361819;39525257;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;74581;71474;71474;71474;8200;метри кубічні
UA-2016-12-01-000343-a-L1;UA-2016-12-01-000343-a;01.12.2016;19.12.2016;1993486;31767581;09123000-7 Природний газ;Відкриті торги;Надпороги;;;2;726000;719348;716750;716750;85000;метри кубічні
UA-2016-12-13-001406-a-L1;UA-2016-12-13-001406-a;13.12.2016;30.12.2016;24171387;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;431286;431206;431206;431206;48882;метри кубічні
UA-2016-12-29-000454-c-L1;UA-2016-12-29-000454-c;29.12.2016;17.01.2017;4387852;39589441;09123000-7 Природний газ;Відкриті торги;Надпороги;нет;до;2;264750;264641;264641;264641;30000;метри кубічні
